Series,Name,Code,Note
Season 4: Johto League Champions,"Hook, Line, and Stinker",EP168,
Season 4: Johto League Champions,Beauty and the Breeder,EP169,
Season 4: Johto League Champions,A Better Pill to Swallow,EP170,
Season 4: Johto League Champions,Power Play!,EP171,
Season 4: Johto League Champions,Mountain Time,EP172,
Season 4: Johto League Champions,Wobbu-Palooza!,EP173,
Season 4: Johto League Champions,Imitation Confrontation,EP174,
Season 4: Johto League Champions,The Trouble With Snubbull,EP175,
Season 4: Johto League Champions,"Ariados, Amigos",EP176,
Season 4: Johto League Champions,Wings 'N' Things,EP177,
Season 4: Johto League Champions,The Grass Route,EP178,
Pikachu Short,Pikachu's Winter Vacation: Delibird's Dilemma,PK08,
Pikachu Short,Pikachu's Winter Vacation: Snorlax Snowman,PK09,
Special,Pokémon: Mewtwo Returns,SPEC02,TV special / direct-to-video
Season 4: Johto League Champions,The Apple Corp!,EP179,
Season 4: Johto League Champions,Houndoom's Special Delivery,EP180,
Season 4: Johto League Champions,A Ghost of a Chance,EP181,
Season 4: Johto League Champions,From Ghost to Ghost,EP182,
Season 4: Johto League Champions,Trouble's Brewing,EP183,
Season 4: Johto League Champions,All That Glitters!,EP184,
Season 4: Johto League Champions,The Light Fantastic,EP185,
Season 4: Johto League Champions,UnBEARable,EP186,
Season 4: Johto League Champions,Moving Pictures,EP187,
Season 4: Johto League Champions,Spring Fever,EP188,
Season 4: Johto League Champions,Freeze Frame,EP189,
Season 4: Johto League Champions,The Stolen Stones!,EP190,
Season 4: Johto League Champions,The Dunsparce Deception,EP191,
Season 4: Johto League Champions,The Wayward Wobbuffet,EP192,
Season 4: Johto League Champions,Sick Daze,EP193,
Season 4: Johto League Champions,Ring Masters,EP194,
Season 4: Johto League Champions,The Poké Spokesman,EP195,
Season 4: Johto League Champions,Control Freak!,EP196,
Season 4: Johto League Champions,The Art of Pokémon,EP197,
Season 4: Johto League Champions,The Heartbreak of Brock,EP198,
Season 4: Johto League Champions,Current Events,EP199,
Season 4: Johto League Champions,Turning Over A New Bayleef,EP200,
Season 4: Johto League Champions,Doin' What Comes Natu-rally,EP201,
Season 4: Johto League Champions,The Big Balloon Blow-Up,EP202,
Season 4: Johto League Champions,The Screen Actor's Guilt,EP203,
Season 4: Johto League Champions,"Right On, Rhydon!",EP204,
Season 4: Johto League Champions,The Kecleon Caper,EP205,
Pikachu Short,Pikachu's PikaBoo,PK10,
Movies,Pokémon 4Ever - Celebi: Voice of the Forest,M4,
Season 4: Johto League Champions,The Joy of Water Pokémon,EP206,
Season 4: Johto League Champions,Got Miltank?,EP207,
Season 4: Johto League Champions,Fight for the Light!,EP208,
Season 4: Johto League Champions,"Machoke, Machoke Man!",EP209,
Season 5: Master Quest,Around the Whirlpool,EP210,
Season 5: Master Quest,Fly Me to the Moon,EP211,
Season 5: Master Quest,Takin' It on the Chinchou,EP212,
Season 5: Master Quest,A Corsola Caper!,EP213,
Season 5: Master Quest,Mantine Overboard!,EP214,
Season 5: Master Quest,Octillery The Outcast,EP215,
Season 5: Master Quest,Dueling Heroes,EP216,
Season 5: Master Quest,The Perfect Match!,EP217,
Season 5: Master Quest,Plant It Now... Diglett Later,EP218,
Season 5: Master Quest,Hi Ho Silver... Away!,EP219,
Season 5: Master Quest,The Mystery is History,EP220,
Season 5: Master Quest,A Parent Trapped!,EP221,
Season 5: Master Quest,A Promise is a Promise,EP222,
Season 5: Master Quest,Throwing in the Noctowl,EP223,
Season 5: Master Quest,Nerves of Steelix!,EP224,
Season 5: Master Quest,Bulbasaur... the Ambassador!,EP225,
Season 5: Master Quest,"Espeon, Not Included",EP226,
Season 5: Master Quest,For Ho-Oh the Bells Toll!,EP227,
Season 5: Master Quest,Extreme Pokémon!,EP228,
Season 5: Master Quest,An EGG-sighting Adventure!,EP229,
Season 5: Master Quest,Hatching a Plan,EP230,
Pokémon Chronicles,The Legend of Thunder! (Part 1),LoT01,Originally Japan only; later dubbed as Pokémon Chronicles special
Pokémon Chronicles,The Legend of Thunder! (Part 2),LoT02,Originally Japan only; later dubbed as Pokémon Chronicles special
Pokémon Chronicles,The Legend of Thunder! (Part 3),LoT03,Originally Japan only; later dubbed as Pokémon Chronicles special
Season 5: Master Quest,Dues and Don'ts,EP231,
Season 5: Master Quest,Just Waiting On a Friend,EP232,
Season 5: Master Quest,A Tyrogue Full of Trouble,EP233,
Season 5: Master Quest,Xatu the Future,EP234,
Season 5: Master Quest,Talkin' 'Bout an Evolution,EP235,
Season 5: Master Quest,Rage of Innocence,EP236,
Season 5: Master Quest,As Cold as Pryce,EP237,
Season 5: Master Quest,"Nice Pryce, Baby!",EP238,
Season 5: Master Quest,Whichever Way the Wind Blows,EP239,
Season 5: Master Quest,Some Like it Hot,EP240,
Season 5: Master Quest,Hocus Pokémon,EP241,
Season 5: Master Quest,As Clear as Crystal,EP242,
Season 5: Master Quest,Same Old Song and Dance,EP243,
Season 5: Master Quest,Enlighten Up!,EP244,
Season 5: Master Quest,Will the Real Oak Please Stand Up?,EP245,
Season 5: Master Quest,Wish Upon a Star Shape,EP246,
Season 5: Master Quest,Outrageous Fortunes,EP247,
Season 5: Master Quest,One Trick Phony!,EP248,
