Series,Name,Code,Note
Special,Pokémon Mystery Dungeon: Team Go-Getters Out of the Gate!,SPEC03,TV special tied to Mystery Dungeon Red/Blue
Special,Pokémon: The Mastermind of Mirage Pokémon,SPEC04,TV special (10th anniversary); slightly different Japanese cut
Season 9: Battle Frontier,Fear Factor Phony,AG146,
Season 9: Battle Frontier,Sweet Baby James,AG147,
Season 9: Battle Frontier,A Chip Off the Old Brock,AG148,
Season 9: Battle Frontier,Wheel of Frontier,AG149,
Season 9: Battle Frontier,May's Egg-Cellent Adventure,AG150,
Season 9: Battle Frontier,Weekend Warrior,AG151,
Season 9: Battle Frontier,On Olden Pond,AG152,
Season 9: Battle Frontier,Tactics Theatrics!!,AG153,
Season 9: Battle Frontier,Reversing the Charges,AG154,
Season 9: Battle Frontier,The Green Guardian,AG155,
Season 9: Battle Frontier,From Cradle to Save,AG156,
Season 9: Battle Frontier,Time Warp Heals All Wounds,AG157,
Season 9: Battle Frontier,Queen of the Serpentine!,AG158,
Season 9: Battle Frontier,Off the Unbeaten Path,AG159,
Season 9: Battle Frontier,Harley Rides Again,AG160,
Season 9: Battle Frontier,Odd Pokémon Out!,AG161,
Season 9: Battle Frontier,Spontaneous Combusken!,AG162,
Season 9: Battle Frontier,Cutting the Ties that Bind!,AG163,
Season 9: Battle Frontier,Ka Boom with a View!,AG164,
Season 9: Battle Frontier,King and Queen for a Day!,AG165,
Season 9: Battle Frontier,Curbing the Crimson Tide!,AG166,
Season 9: Battle Frontier,What I Did for Love!,AG167,
Season 9: Battle Frontier,Three Jynx and a Baby!,AG168,
Season 9: Battle Frontier,Talking a Good Game!,AG169,
Season 9: Battle Frontier,Second Time's the Charm!,AG170,
Season 9: Battle Frontier,Pokémon Ranger - Deoxys' Crisis! (Part One),AG171,
Season 9: Battle Frontier,Pokémon Ranger - Deoxys' Crisis! (Part Two),AG172,
Season 9: Battle Frontier,All That Glitters is Not Golden!,AG173,
Season 9: Battle Frontier,"New Plot, Odd Lot!",AG174,
Season 9: Battle Frontier,Going for Choke!,AG175,
Season 9: Battle Frontier,The Ole' Berate and Switch!,AG176,
Season 9: Battle Frontier,Grating Spaces!,AG177,
Season 9: Battle Frontier,Battling the Enemy Within!,AG178,
Season 9: Battle Frontier,Slaking Kong!,AG179,
Pikachu Short,Pikachu's Ocean Adventure,PK16,"3D short, no home release"
Season 9: Battle Frontier,"May, We Harley Drew'd Ya!",AG180,
Season 9: Battle Frontier,Thinning the Hoard!,AG181,
Season 9: Battle Frontier,Channeling the Battle Zone!,AG182,
Season 9: Battle Frontier,Aipom and Circumstance!,AG183,
Movies,Pokémon Ranger and the Temple of the Sea,M9,
Season 9: Battle Frontier,Strategy Tomorrow - Comedy Tonight!,AG184,
Season 9: Battle Frontier,Duels of the Jungle!,AG185,
Pikachu Short,Pikachu's Island Adventure,PK17,
Season 9: Battle Frontier,Overjoyed!,AG186,
Season 9: Battle Frontier,The Unbeatable Lightness of Seeing!,AG187,
Season 9: Battle Frontier,Pinch Healing!,AG188,
Season 9: Battle Frontier,Gathering the Gang of Four!,AG189,
Season 9: Battle Frontier,Pace - The Final Frontier!,AG190,
Season 9: Battle Frontier,Once More With Reeling!,AG191,
Season 9: Battle Frontier,Home is Where the Start Is!,AG192,
Season 10: Diamond and Pearl,Following A Maiden's Voyage!,DP001,
Season 10: Diamond and Pearl,Two Degrees of Separation!,DP002,
Season 10: Diamond and Pearl,When Pokémon Worlds Collide!,DP003,
Season 10: Diamond and Pearl,Dawn Of A New Era!,DP004,
Season 10: Diamond and Pearl,Gettin' Twiggy With It!,DP005,
Season 10: Diamond and Pearl,Different Strokes for Different Blokes!,DP006,
Season 10: Diamond and Pearl,Like It or Lup It!,DP007,
Season 10: Diamond and Pearl,Gymbaliar!,DP008,
Season 10: Diamond and Pearl,Setting the World on its Buneary!,DP009,
Season 10: Diamond and Pearl,Not on MY Watch Ya Don't!,DP010,
Season 10: Diamond and Pearl,Mounting a Coordinator Assault!,DP011,
Season 10: Diamond and Pearl,Arrival of a Rival!,DP012,
Season 10: Diamond and Pearl,A Staravia Is Born!,DP013,
Season 10: Diamond and Pearl,Leave It To Brocko!,DP014,
Season 10: Diamond and Pearl,Shapes of Things to Come!,DP015,
Season 10: Diamond and Pearl,A Gruff Act to Follow!,DP016,
Season 10: Diamond and Pearl,Wild in the Streets!,DP017,
Season 10: Diamond and Pearl,O'er the Rampardos We Watched!,DP018,
Season 10: Diamond and Pearl,"Twice Smitten, Once Shy!",DP019,
Season 10: Diamond and Pearl,Mutiny in the Bounty!,DP020,
Season 10: Diamond and Pearl,Ya See We Want An Evolution!,DP021,
Season 10: Diamond and Pearl,Borrowing on Bad Faith!,DP022,
Season 10: Diamond and Pearl,Faced With Steelix Determination!,DP023,
Season 10: Diamond and Pearl,Cooking up a Sweet Story!,DP024,
Season 10: Diamond and Pearl,Oh Do You Know the Poffin Plan!,DP025,
Season 10: Diamond and Pearl,Getting the Pre-Contest Titters!,DP026,
Season 10: Diamond and Pearl,Settling a Not-So-Old Score!,DP027,
Season 10: Diamond and Pearl,Drifloon on the Wind!,DP028,
Season 10: Diamond and Pearl,The Champ Twins!,DP029,
Season 10: Diamond and Pearl,Some Enchanted Sweetening!,DP030,
Season 10: Diamond and Pearl,The Grass-Type Is Always Greener!,DP031,
Season 10: Diamond and Pearl,An Angry Combeenation!,DP032,
Season 10: Diamond and Pearl,All Dressed Up With Somewhere To Go!,DP033,
Season 10: Diamond and Pearl,Buizel Your Way Out Of This!,DP034,
Season 10: Diamond and Pearl,An Elite Meet And Greet!,DP035,
Season 10: Diamond and Pearl,A Secret Sphere of Influence!,DP036,
Season 10: Diamond and Pearl,The Grass Menagerie!,DP037,
Season 10: Diamond and Pearl,One Big Happiny Family!,DP038,
Season 10: Diamond and Pearl,Steamboat Willies!,DP039,
Movies,Pokémon: The Rise of Darkrai,M10,
Season 10: Diamond and Pearl,Top-Down Training!,DP040,
Season 10: Diamond and Pearl,A Stand-Up Sit-Down!,DP041,
Pikachu Short,Pikachu's Exploration Club,PK18,Japan only
Season 10: Diamond and Pearl,The Electrike Company!,DP042,
Season 10: Diamond and Pearl,Malice In Wonderland!,DP043,
Season 10: Diamond and Pearl,Mass Hip-Po-Sis!,DP044,
Season 10: Diamond and Pearl,Ill-Will Hunting!,DP045,
Season 10: Diamond and Pearl,A Maze-ing Race!,DP046,
Season 10: Diamond and Pearl,Sandshrew's Locker!,DP047,
Season 10: Diamond and Pearl,Satoshi and Hikari! Facing a New Adventure!!,DP048,"Japan only, Never Dubbed, clip episode"
Season 10: Diamond and Pearl,Dawn's Early Night!,DP049,
Season 10: Diamond and Pearl,Tag! We're It...!,DP050,
Season 10: Diamond and Pearl,Glory Blaze!,DP051,
Season 10: Diamond and Pearl,Smells Like Team Spirit!,DP052,
Season 11: Diamond and Pearl: Battle Dimension,Tears For Fears!,DP053,
Season 11: Diamond and Pearl: Battle Dimension,Once There Were Greenfields,DP054,
Season 11: Diamond and Pearl: Battle Dimension,Throwing the Track Switch,DP055,
Season 11: Diamond and Pearl: Battle Dimension,The Keystone Pops!,DP056,
Season 11: Diamond and Pearl: Battle Dimension,Bibarel Gnaws Best!,DP057,
Season 11: Diamond and Pearl: Battle Dimension,Nosing 'Round the Mountain!,DP058,
Season 11: Diamond and Pearl: Battle Dimension,Luxray Vision!,DP059,
Season 11: Diamond and Pearl: Battle Dimension,Journey to the Unown!,DP060,
Season 11: Diamond and Pearl: Battle Dimension,Team Shocker!,DP061,
Season 11: Diamond and Pearl: Battle Dimension,Tanks for the Memories!,DP062,
Season 11: Diamond and Pearl: Battle Dimension,Hot Springing a Leak!,DP063,
Season 11: Diamond and Pearl: Battle Dimension,Riding the Winds of Change!,DP064,
Season 11: Diamond and Pearl: Battle Dimension,Sleight of Sand!,DP065,
Season 11: Diamond and Pearl: Battle Dimension,Lost Leader Strategy!,DP066,
Season 11: Diamond and Pearl: Battle Dimension,Crossing the Battle Line!,DP067,
Season 11: Diamond and Pearl: Battle Dimension,A Triple Fighting Chance!,DP068,
Season 11: Diamond and Pearl: Battle Dimension,Enter Galactic!,DP069,
Season 11: Diamond and Pearl: Battle Dimension,The Bells Are Singing!,DP070,
Season 11: Diamond and Pearl: Battle Dimension,Pokémon Ranger and the Kidnapped Riolu! (Part 1),DP071,
Season 11: Diamond and Pearl: Battle Dimension,Pokémon Ranger and the Kidnapped Riolu! (Part 2),DP072,
Season 11: Diamond and Pearl: Battle Dimension,Crossing Paths,DP073,
Season 11: Diamond and Pearl: Battle Dimension,Pika and Goliath!,DP074,
Special,Pokémon Mystery Dungeon: Explorers of Time & Darkness,SPEC05,TV special tied to Mystery Dungeon Explorers
Special,Pokémon Mystery Dungeon: Explorers of Sky - Beyond Time & Darkness,SPEC06,TV special tied to Mystery Dungeon Explorers of Sky
Season 11: Diamond and Pearl: Battle Dimension,Our Cup Runneth Over!,DP075,
Season 11: Diamond and Pearl: Battle Dimension,A Full Course Tag Battle!,DP076,
Season 11: Diamond and Pearl: Battle Dimension,Staging A Heroes' Welcome!,DP077,
Season 11: Diamond and Pearl: Battle Dimension,Pruning a Passel of Pals!!,DP078,
Season 11: Diamond and Pearl: Battle Dimension,Strategy With a Smile!,DP079,
Season 11: Diamond and Pearl: Battle Dimension,The Thief That Keeps on Thieving!,DP080,
Season 11: Diamond and Pearl: Battle Dimension,Chim - Charred!,DP081,
Season 11: Diamond and Pearl: Battle Dimension,Cream of the Croagunk Crop!,DP082,
Season 11: Diamond and Pearl: Battle Dimension,A Crasher Course in Power!,DP083,
Season 11: Diamond and Pearl: Battle Dimension,Hungry For the Good Life!,DP084,
Season 11: Diamond and Pearl: Battle Dimension,Fighting Fear with Fear!!,DP085,
Season 11: Diamond and Pearl: Battle Dimension,Arriving in Style!,DP086,
Movies,Pokémon: Giratina and the Sky Warrior,M11,
Season 11: Diamond and Pearl: Battle Dimension,The Psyduck Stops Here!,DP087,
Pikachu Short,Pikachu's Ice Adventure,PK19,Japan only
Season 11: Diamond and Pearl: Battle Dimension,Camping It Up!,DP088,
Season 11: Diamond and Pearl: Battle Dimension,Up Close and Personable!,DP089,
Season 11: Diamond and Pearl: Battle Dimension,Ghoul Daze!,DP090,
Season 11: Diamond and Pearl: Battle Dimension,"One Team, Two Team, Red Team, Blue Team!",DP091,
Season 11: Diamond and Pearl: Battle Dimension,A Lean Mean Team Rocket Machine!,DP092,
Season 11: Diamond and Pearl: Battle Dimension,Playing The Leveling Field!,DP093,
Season 11: Diamond and Pearl: Battle Dimension,Doc Brock!,DP094,
Season 11: Diamond and Pearl: Battle Dimension,Battling The Generation Gap!,DP095,
Season 11: Diamond and Pearl: Battle Dimension,Losing Its Lustrous!,DP096,
Season 11: Diamond and Pearl: Battle Dimension,Double Team Turnover!,DP097,
Season 11: Diamond and Pearl: Battle Dimension,"If the Scarf Fits, Wear It!",DP098,
Season 11: Diamond and Pearl: Battle Dimension,A Trainer and Child Reunion!,DP099,
Season 11: Diamond and Pearl: Battle Dimension,Aiding the Enemy!,DP100,
Season 11: Diamond and Pearl: Battle Dimension,Barry's Busting Out All Over!,DP101,
Season 11: Diamond and Pearl: Battle Dimension,Shield with a Twist!,DP102,
Season 11: Diamond and Pearl: Battle Dimension,Jumping Rocket Ship!,DP103,
Season 11: Diamond and Pearl: Battle Dimension,Sleepless In Pre-Battle!,DP104,
Season 12: Diamond and Pearl: Galactic Battles,Get Your Rotom Running!,DP105,
Season 12: Diamond and Pearl: Galactic Battles,A Breed Stampede!,DP106,
Season 12: Diamond and Pearl: Galactic Battles,Ancient Family Matters!,DP107,
Season 12: Diamond and Pearl: Galactic Battles,Dealing with Defensive Types!,DP108,
Season 12: Diamond and Pearl: Galactic Battles,Leading a Stray!,DP109,
Season 12: Diamond and Pearl: Galactic Battles,Steeling Peace of Mind!,DP110,
Season 12: Diamond and Pearl: Galactic Battles,Saving the World from Ruins!,DP111,
Season 12: Diamond and Pearl: Galactic Battles,Cheers on Castaways Isle!,DP112,
Season 12: Diamond and Pearl: Galactic Battles,Hold the Phione!,DP113,
Season 12: Diamond and Pearl: Galactic Battles,Another One Gabites the Dust!,DP114,
Season 12: Diamond and Pearl: Galactic Battles,Stealing the Conversation!,DP115,
Season 12: Diamond and Pearl: Galactic Battles,The Drifting Snorunt!,DP116,
Season 12: Diamond and Pearl: Galactic Battles,Noodles! Roamin' Off!,DP117,
Season 12: Diamond and Pearl: Galactic Battles,Pursuing a Lofty Goal!,DP118,
Season 12: Diamond and Pearl: Galactic Battles,Trials and Adulations!,DP119,
Season 12: Diamond and Pearl: Galactic Battles,"The Mysterious Creatures, Pocket Monsters!",DP120,"Japan only, Never Dubbed, clip episode"
Season 12: Diamond and Pearl: Galactic Battles,The Lonely Snover!,DP121,
Season 12: Diamond and Pearl: Galactic Battles,Stopped in the Name of Love!,DP122,
Season 12: Diamond and Pearl: Galactic Battles,"Old Rivals, New Tricks!",DP123,
Season 12: Diamond and Pearl: Galactic Battles,To Thine Own Pokémon Be True!,DP124,
Season 12: Diamond and Pearl: Galactic Battles,Battling a Cute Drama!,DP125,
Season 12: Diamond and Pearl: Galactic Battles,Classroom Training!,DP126,
Season 12: Diamond and Pearl: Galactic Battles,Sliding Into Seventh!,DP127,
Season 12: Diamond and Pearl: Galactic Battles,A Pyramiding Rage!,DP128,
Season 12: Diamond and Pearl: Galactic Battles,Pillars of Friendship!,DP129,
Season 12: Diamond and Pearl: Galactic Battles,Frozen on Their Tracks!,DP130,
Season 12: Diamond and Pearl: Galactic Battles,Pedal to the Mettle!,DP131,
Season 12: Diamond and Pearl: Galactic Battles,Evolving Strategies!,DP132,
Season 12: Diamond and Pearl: Galactic Battles,Uncrushing Defeat!,DP133,
Season 12: Diamond and Pearl: Galactic Battles,Promoting Healthy Tangrowth!,DP134,
Season 12: Diamond and Pearl: Galactic Battles,Beating the Bustle and Hustle!,DP135,
Movies,Pokémon: Arceus and the Jewel of Life,M12,
Season 12: Diamond and Pearl: Galactic Battles,Gateway to Ruin!,DP136,
Pikachu Short,Pikachu's Sparkle Search!,PK20,Japan only
Season 12: Diamond and Pearl: Galactic Battles,Three Sides to Every Story!,DP137,
Season 12: Diamond and Pearl: Galactic Battles,Strategy Begins at Home!,DP138,
Season 12: Diamond and Pearl: Galactic Battles,A Faux Oak Finish!,DP139,
Season 12: Diamond and Pearl: Galactic Battles,Historical Mystery Tour!,DP140,
Season 12: Diamond and Pearl: Galactic Battles,Challenging a Towering Figure!,DP141,
Season 12: Diamond and Pearl: Galactic Battles,Where No Togepi Has Gone Before!,DP142,
Season 12: Diamond and Pearl: Galactic Battles,An Egg Scramble!,DP143,
Season 12: Diamond and Pearl: Galactic Battles,Gone With the Windworks!,DP144,
Season 12: Diamond and Pearl: Galactic Battles,A Rivalry to Gible On!,DP145,
Season 12: Diamond and Pearl: Galactic Battles,Dressed for Jess Success!,DP146,
Season 12: Diamond and Pearl: Galactic Battles,Bagged Then Tagged!,DP147,
Season 12: Diamond and Pearl: Galactic Battles,Try for the Family Stone!,DP148,
Season 12: Diamond and Pearl: Galactic Battles,Sticking With Who You Know!,DP149,
Season 12: Diamond and Pearl: Galactic Battles,Unlocking the Red Chain of Events!,DP150,
Season 12: Diamond and Pearl: Galactic Battles,The Needs of the Three!,DP151,
Season 12: Diamond and Pearl: Galactic Battles,The Battle Finale of Legend!,DP152,
Season 12: Diamond and Pearl: Galactic Battles,The Treasure Is All Mine!,DP153,
Season 12: Diamond and Pearl: Galactic Battles,Mastering Current Events!,DP154,
Season 12: Diamond and Pearl: Galactic Battles,Double-Time Battle Training!,DP155,
Season 12: Diamond and Pearl: Galactic Battles,A Meteoric Rise to Excellence!,DP156,
Season 12: Diamond and Pearl: Galactic Battles,Gotta Get a Gible!,DP157,
Season 13: Diamond and Pearl: Sinnoh League Victors,Regaining the Home Advantage!,DP158,
Season 13: Diamond and Pearl: Sinnoh League Victors,Short and To the Punch!,DP159,
Season 13: Diamond and Pearl: Sinnoh League Victors,A Marathon Rivalry!,DP160,
Season 13: Diamond and Pearl: Sinnoh League Victors,"Yes in Dee Dee, It's Dawn!",DP161,
Season 13: Diamond and Pearl: Sinnoh League Victors,Playing the Performance Encore!,DP162,
Season 13: Diamond and Pearl: Sinnoh League Victors,Fighting Ire with Fire!,DP163,
Season 13: Diamond and Pearl: Sinnoh League Victors,"Piplup, Up and Away!",DP164,
Season 13: Diamond and Pearl: Sinnoh League Victors,Flint Sparks the Fire!,DP165,
Season 13: Diamond and Pearl: Sinnoh League Victors,The Fleeing Tower of Sunyshore!,DP166,
Special,Pokémon Ranger: Guardian Signs (Part One),PRGS01,"Japan only, Never Dubbed; TV special tied to Ranger: Guardian Signs"
Special,Pokémon Ranger: Guardian Signs (Part Two),PRGS02,"Japan only, Never Dubbed; TV special tied to Ranger: Guardian Signs"
Season 13: Diamond and Pearl: Sinnoh League Victors,Teaching the Student Teacher!,DP167,
Season 13: Diamond and Pearl: Sinnoh League Victors,Keeping In Top Forme!,DP168,
Season 13: Diamond and Pearl: Sinnoh League Victors,Pokémon Ranger: Heatran Rescue!,DP169,
Season 13: Diamond and Pearl: Sinnoh League Victors,An Elite Coverup!,DP170,
Season 13: Diamond and Pearl: Sinnoh League Victors,Dawn of a Royal Day!,DP171,
Season 13: Diamond and Pearl: Sinnoh League Victors,With the Easiest of Grace!,DP172,
Season 13: Diamond and Pearl: Sinnoh League Victors,Dealing With a Fierce Double Ditto Drama!,DP173,
Season 13: Diamond and Pearl: Sinnoh League Victors,Last Call — First Round!,DP174,
Season 13: Diamond and Pearl: Sinnoh League Victors,Opposites Interact!,DP175,
Season 13: Diamond and Pearl: Sinnoh League Victors,Coming Full Festival Circle!,DP176,
Season 13: Diamond and Pearl: Sinnoh League Victors,A Grand Fight for Winning!,DP177,
Season 13: Diamond and Pearl: Sinnoh League Victors,For The Love Of Meowth!,DP178,
Movies,Pokémon—Zoroark: Master of Illusions,M13,
Season 13: Diamond and Pearl: Sinnoh League Victors,The Eighth Wonder of the Sinnoh World!,DP179,
Season 13: Diamond and Pearl: Sinnoh League Victors,Four Roads Diverged in a Pokémon Port!,DP180,
Season 13: Diamond and Pearl: Sinnoh League Victors,Bucking the Treasure Trend!,DP181,
Pikachu Short,Pikachu's Strange Wonder Adventure,PK21,Japan only
Season 13: Diamond and Pearl: Sinnoh League Victors,An Old Family Blend!,DP182,
Season 13: Diamond and Pearl: Sinnoh League Victors,League Unleashed!,DP183,
Season 13: Diamond and Pearl: Sinnoh League Victors,Casting a Paul on Barry!,DP184,
Season 13: Diamond and Pearl: Sinnoh League Victors,Working on a Right Move!,DP185,
Season 13: Diamond and Pearl: Sinnoh League Victors,Familiarity Breeds Strategy!,DP186,
Season 13: Diamond and Pearl: Sinnoh League Victors,A Real Rival Rouser!,DP187,
Season 13: Diamond and Pearl: Sinnoh League Victors,Battling a Thaw in Relations!,DP188,
Season 13: Diamond and Pearl: Sinnoh League Victors,The Semi-Final Frontier!,DP189,
Season 13: Diamond and Pearl: Sinnoh League Victors,The Brockster Is In!,DP190,
Season 13: Diamond and Pearl: Sinnoh League Victors,Memories are Made of Bliss!,DP191,
Season 14: Black & White,In the Shadow of Zekrom!,BW001,
Season 14: Black & White,Enter Iris and Axew!,BW002,
Season 14: Black & White,A Sandile Gusher of Change!,BW003,
Season 14: Black & White,The Battle Club and Tepig's Choice!,BW004,
Season 14: Black & White,"Triple Leaders, Team Threats!",BW005,
Season 14: Black & White,Dreams by the Yard Full!,BW006,
Season 14: Black & White,Snivy Plays Hard to Catch!,BW007,
Season 14: Black & White,Saving Darmanitan From the Bell!,BW008,
Season 14: Black & White,The Bloom Is on Axew!,BW009,
Season 14: Black & White,A Rival Battle for Club Champ!,BW010,
Season 14: Black & White,A Home for Dwebble!,BW011,
Season 14: Black & White,Here Comes the Trubbish Squad!,BW012,
Season 14: Black & White,Minccino—Neat and Tidy!,BW013,
Season 14: Black & White,A Night in the Nacrene City Museum!,BW014,
Season 14: Black & White,The Battle According to Lenora!,BW015,
Season 14: Black & White,Rematch at the Nacrene Gym!,BW016,
Season 14: Black & White,Scraggy—Hatched to Be Wild!,BW017,
Season 14: Black & White,Sewaddle and Burgh in Pinwheel Forest!,BW018,
Special,Dawn - Setting Off on a New Journey!,DPS01,"Japan only, Never Dubbed"
Special,Pewter Gym - The Greatest Crisis Ever!,DPS02,"Japan only, Never Dubbed"
Season 14: Black & White,A Connoisseur's Revenge!,BW019,
Season 14: Black & White,Dancing With the Ducklett Trio!,BW020,
Season 14: Black & White,The Lost World of Gothitelle!,BW021,
Season 14: Black & White,A Venipede Stampede!,BW022,
Season 14: Black & White,Rocket Gang VS Plasma Gang! (Part 1),BW023J1,"Never aired; pulled due to Tōhoku earthquake/tsunami, Never Dubbed"
Season 14: Black & White,Rocket Gang VS Plasma Gang! (Part 2),BW023J2,"Never aired; pulled due to Tōhoku earthquake/tsunami, Never Dubbed"
Season 14: Black & White,Battling For The Love of Bug-Types!,BW023,
Season 14: Black & White,Emolga the Irresistible!,BW024,
Season 14: Black & White,Emolga and the New Volt Switch!,BW025,
Season 14: Black & White,Scare at the Litwick Mansion!,BW026,
Season 14: Black & White,The Dragon Master's Path!,BW027,
Season 14: Black & White,Oshawott's Lost Scalchop!,BW028,
Season 14: Black & White,Cottonee in Love!,BW029,
Season 14: Black & White,A UFO for Elgyem!,BW030,
Season 14: Black & White,Ash and Trip's Third Battle!,BW031,
Season 14: Black & White,Facing Fear with Eyes Wide Open!,BW032,
Season 14: Black & White,Iris and Excadrill Against the Dragon Buster!,BW033,
Season 14: Black & White,Gotta Catch A Roggenrola!,BW034,
Season 14: Black & White,"Where Did You Go, Audino?",BW035,
Season 14: Black & White,Archeops In The Modern World!,BW036,
Season 14: Black & White,A Fishing Connoisseur in a Fishy Competition!,BW037,
Pikachu Short,Pikachu's Summer Bridge Story,PK22,Japan only
Movies,Pokémon the Movie: White—Victini and Zekrom,M14W,
Movies,Pokémon the Movie: Black—Victini and Reshiram,M14B,
Season 14: Black & White,"Movie Time! Zorua in ""The Legend of the Pokémon Knight""!",BW038,
Season 14: Black & White,Reunion Battles In Nimbasa!,BW039,
Season 14: Black & White,"Cilan Versus Trip, Ash Versus Georgia!",BW040,
Season 14: Black & White,The Club Battle Hearts of Fury: Emolga Versus Sawk!,BW041,
Season 14: Black & White,Club Battle Finale: A Hero's Outcome!,BW042,
Season 14: Black & White,Meowth's Scrafty Tactics!,BW043,
Season 14: Black & White,Purrloin: Sweet or Sneaky?,BW044,
Season 14: Black & White,"Beheeyem, Duosion, and the Dream Thief!",BW045,
Season 14: Black & White,The Beartic Mountain Feud!,BW046,
Season 14: Black & White,Crisis From the Underground Up!,BW047,
Season 14: Black & White,Battle for the Underground!,BW048,
Season 15: Black & White: Rival Destinies,"Enter Elesa, Electrifying Gym Leader!",BW049,
Season 15: Black & White: Rival Destinies,Dazzling the Nimbasa Gym!,BW050,
Season 15: Black & White: Rival Destinies,Lost at the Stamp Rally!,BW051,
Season 15: Black & White: Rival Destinies,Ash Versus the Champion!,BW052,
Season 15: Black & White: Rival Destinies,A Maractus Musical!,BW053,
Season 15: Black & White: Rival Destinies,The Four Seasons of Sawsbuck!,BW054,
Season 15: Black & White: Rival Destinies,Scraggy and the Demanding Gothita!,BW055,
Season 15: Black & White: Rival Destinies,The Lonely Deino!,BW056,
Season 15: Black & White: Rival Destinies,The Mighty Accelguard to the Rescue!,BW057,
Season 15: Black & White: Rival Destinies,A Call for Brotherly Love!,BW058,
Season 15: Black & White: Rival Destinies,Stopping the Rage of Legends! (Part 1),BW059,
Season 15: Black & White: Rival Destinies,Stopping the Rage of Legends! (Part 2),BW060,
Season 15: Black & White: Rival Destinies,Battling the King of the Mines!,BW061,
Season 15: Black & White: Rival Destinies,Crisis at Chargestone Cave!,BW062,
Season 15: Black & White: Rival Destinies,Evolution Exchange Excitement!,BW063,
Season 15: Black & White: Rival Destinies,Explorers of the Hero's Ruin!,BW064,
Season 15: Black & White: Rival Destinies,Battling the Bully!,BW065,
Season 15: Black & White: Rival Destinies,Baffling the Bouffalant!,BW066,
Season 15: Black & White: Rival Destinies,Cilan Takes Flight!,BW067,
Season 15: Black & White: Rival Destinies,An Amazing Aerial Battle!,BW068,
Season 15: Black & White: Rival Destinies,Climbing the Tower of Success!,BW069,
Season 15: Black & White: Rival Destinies,The Clubsplosion Begins!,BW070,
Season 15: Black & White: Rival Destinies,Search for the Clubultimate!,BW071,
Season 15: Black & White: Rival Destinies,A Clubsplosion of Excitement!,BW072,
Season 15: Black & White: Rival Destinies,Commanding the Clubsplosion Crown!,BW073,
Season 15: Black & White: Rival Destinies,Battling the Leaf Thieves!,BW074,
Season 15: Black & White: Rival Destinies,A Restoration Confrontation! (Part 1),BW075,
Season 15: Black & White: Rival Destinies,A Restoration Confrontation! (Part 2),BW076,
Season 15: Black & White: Rival Destinies,Evolution by Fire!,BW077,
Season 15: Black & White: Rival Destinies,Guarding the Guardian of the Mountain!,BW078,
Season 15: Black & White: Rival Destinies,Caution: Icy Battle Conditions!,BW079,
Season 15: Black & White: Rival Destinies,Clash of the Connoisseurs!,BW080,
Season 15: Black & White: Rival Destinies,Crisis at Ferroseed Research!,BW081,
Season 15: Black & White: Rival Destinies,An Epic Defense Force!,BW082,
Season 15: Black & White: Rival Destinies,Rocking the Virbank Gym! (Part 1),BW083,
Season 15: Black & White: Rival Destinies,Rocking the Virbank Gym! (Part 2),BW084,
Season 15: Black & White: Rival Destinies,All for the Love of Meloetta!,BW085,
Season 15: Black & White: Rival Destinies,"Piplup, Pansage, and a Meeting of the Times!",BW086,
Pikachu Short,Sing Meloetta: Search for the Rinka Berries,PK23,Japan only
Season 15: Black & White: Rival Destinies,Expedition to Onix Island!,BW087,
Pikachu Short,Meloetta's Moonlight Serenade,PK24,
Season 15: Black & White: Rival Destinies,The Mystery of the Missing Cubchoo!,BW088,
Season 15: Black & White: Rival Destinies,Iris and the Rogue Dragonite!,BW089,
Season 15: Black & White: Rival Destinies,Jostling for the Junior Cup!,BW090,
Season 15: Black & White: Rival Destinies,Battling Authority Once Again!,BW091,
Season 15: Black & White: Rival Destinies,"Ash, Iris and Trip: Then There Were Three!",BW092,
Season 15: Black & White: Rival Destinies,"Goodbye, Junior Cup - Hello Adventure!",BW093,
Season 15: Black & White: Rival Destinies,The Road to Humilau!,BW094,
Season 15: Black & White: Rival Destinies,Unrest at the Nursery!,BW095,
Season 15: Black & White: Rival Destinies,Meloetta and the Undersea Temple!,BW096,
Season 15: Black & White: Rival Destinies,Unova's Survival Crisis!,BW097,
Movies,Pokémon the Movie: Kyurem vs. The Sword of Justice,M15,
Season 16: Black & White: Adventures in Unova,Beauties Battling for Pride and Prestige!,BW098,
Season 16: Black & White: Adventures in Unova,A Surface to Air Tag Battle Team!,BW099,
Season 16: Black & White: Adventures in Unova,A Village Homecoming!,BW100,
Season 16: Black & White: Adventures in Unova,"Drayden Versus Iris: Past, Present, and Future!",BW101,
Season 16: Black & White: Adventures in Unova,Team Eevee and the Pokémon Rescue Squad!,BW102,
Season 16: Black & White: Adventures in Unova,"Curtain Up, Unova League!",BW103,
Season 16: Black & White: Adventures in Unova,Mission: Defeat Your Rival!,BW104,
Season 16: Black & White: Adventures in Unova,Lost at the League!,BW105,
Season 16: Black & White: Adventures in Unova,Strong Strategy Steals the Show!,BW106,
Season 16: Black & White: Adventures in Unova,Cameron's Secret Weapon!,BW107,
Season 16: Black & White: Adventures in Unova,A Unova League Evolution!,BW108,
Season 16: Black & White: Adventures in Unova,New Places... Familiar Faces!,BW109,
Season 16: Black & White: Adventures in Unova,The Name's N!,BW110,
Season 16: Black & White: Adventures in Unova,There's a New Gym Leader in Town!,BW111,
